start_dt,duration,finish_dt,type,formula,best_set_reps_num,total,notes,
12-03-23 21:30,0:30:00,12-03-23 22:00,dips,5*20 + 1*30,30,130,,
14-03-23 13:30,0:30:00,14-03-23 14:00,pull_ups,5*10 + 1*15 ,15,65,,
16-03-23 13:30,0:30:00,16-03-23 14:00,dips,5*20 + 1*30,30,130,,
19-03-23 22:00,0:30:00,19-03-23 22:30,pull_ups,5*10 + 1*15,15,65,+stretch,
21-03-23 13:30,0:30:00,21-03-23 14:00,dips,5*20 + 2*30,30,160,,
23-03-23 13:30,0:30:00,23-03-23 14:00,pull_ups,5*10 + 1*15,15,65,,
26-03-23 22:00,0:30:00,26-03-23 22:30,dips,5*20 + 2*30,30,160,+stretch,
29-03-23 22:00,0:30:00,29-03-23 22:30,pull_ups,5*10 + 2*15,15,80,,
02-04-23 22:00,0:30:00,02-04-23 22:30,dips,5*20 + 2*30,30,160,+stretch,
04-04-23 17:00,0:30:00,04-04-23 17:30,pull_ups,5*10 + 2*15,15,80,,
06-04-23 14:00,0:30:00,06-04-23 14:30,dips,5*20 + 2*30,30,160,+stretch,
11-04-23 14:00,0:30:00,11-04-23 14:30,pull_ups,5*10 + 1*15 + 1*20,20,85,+stretch,
13-04-23 14:00,0:30:00,13-04-23 14:30,dips,5*20,20,100,+stretch,
16-04-23 21:00,0:30:00,16-04-23 21:30,pull_ups,5*10 + 3*15,15,95,+stretch,
18-04-23 14:30,0:30:00,18-04-23 15:00,dips,6*20 + 2*30,30,180,+stretch,
21-04-23 21:30,0:30:00,21-04-23 22:00,pull_ups,9*10,10,90,+stretch,
23-04-23 21:30,0:30:00,23-04-23 22:00,dips,8*20 + 1*30,30,190,,
27-04-23 21:30,0:30:00,27-04-23 22:00,pull_ups,6*10 + 1*15,30,75,+stretch,
30-04-23 21:30,0:30:00,30-04-23 22:00,dips,5*20 + 1*30 + 1*35,35,165,+stretch,
02-05-23 16:30,0:30:00,02-05-23 17:00,pull_ups,5*10 + 2*15 + 1*10,15,90,+stretch,
04-05-23 14:30,0:30:00,04-05-23 15:00,dips,5*20 + 2*30,30,160,+stretch,
08-05-23 21:30,0:30:00,08-05-23 22:00,pull_ups,5*10 + 1*15 + 1*20,20,85,+stretch,
09-05-23 14:30,0:30:00,09-05-23 15:00,dips,5*20 + 2*30,30,160,+stretch,
11-05-23 14:30,0:30:00,11-05-23 15:00,pull_ups,5*10 + 1*15 + 1*20,20,85,+stretch,
16-05-23 14:30,0:30:00,16-05-23 15:00,dips,5*20 + 2*30,30,160,+stretch,
21-05-23 22:00,0:30:00,21-05-23 22:30,pull_ups,7*10 + 1*20,20,90,+stretch,
23-05-23 16:00,0:30:00,23-05-23 16:30,dips,5*20 + 3*30,30,190,+stretch,
25-05-23 16:00,0:30:00,25-05-23 16:30,pull_ups,5*10 + 2*15,15,80,+stretch,
28-05-23 22:00,0:30:00,28-05-23 22:30,dips,5*20 + 1*30 + 1*35,35,165,+stretch,
