start_dt,type,formula,best_set_reps_num,total,notes,
2023-03-12 21:30:00,dips,5*20 + 1*30,30,130,,
2023-03-14 13:30:00,pull_ups,5*10 + 1*15 ,15,65,,
2023-03-16 13:30:00,dips,5*20 + 1*30,30,130,,
2023-03-19 22:00:00,pull_ups,5*10 + 1*15,15,65,+stretch,
2023-03-21 13:30:00,dips,5*20 + 2*30,30,160,,
2023-03-23 13:30:00,pull_ups,5*10 + 1*15,15,65,,
2023-03-26 22:00:00,dips,5*20 + 2*30,30,160,+stretch,
2023-03-29 22:00:00,pull_ups,5*10 + 2*15,15,80,,
2023-04-02 22:00:00,dips,5*20 + 2*30,30,160,+stretch,
2023-04-04 17:00:00,pull_ups,5*10 + 2*15,15,80,,
2023-04-06 14:00:00,dips,5*20 + 2*30,30,160,+stretch,
2023-04-11 14:00:00,pull_ups,5*10 + 1*15 + 1*20,20,85,+stretch,
2023-04-13 14:00:00,dips,5*20,20,100,+stretch,
2023-04-16 21:00:00,pull_ups,5*10 + 3*15,15,95,+stretch,
2023-04-18 14:30:00,dips,6*20 + 2*30,30,180,+stretch,
2023-04-21 21:30:00,pull_ups,9*10,10,90,+stretch,
2023-04-23 21:30:00,dips,8*20 + 1*30,30,190,,
2023-04-27 21:30:00,pull_ups,6*10 + 1*15,30,75,+stretch,
2023-04-30 21:30:00,dips,5*20 + 1*30 + 1*35,35,165,+stretch,
2023-05-02 16:30:00,pull_ups,5*10 + 2*15 + 1*10,15,90,+stretch,
2023-05-04 14:30:00,dips,5*20 + 2*30,30,160,+stretch,
2023-05-08 21:30:00,pull_ups,5*10 + 1*15 + 1*20,20,85,+stretch,
2023-05-09 14:30:00,dips,5*20 + 2*30,30,160,+stretch,
2023-05-11 14:30:00,pull_ups,5*10 + 1*15 + 1*20,20,85,+stretch,
2023-05-16 14:30:00,dips,5*20 + 2*30,30,160,+stretch,
2023-05-21 22:00:00,pull_ups,7*10 + 1*20,20,90,+stretch,
2023-05-23 16:00:00,dips,5*20 + 3*30,30,190,+stretch,
2023-05-25 16:00:00,pull_ups,5*10 + 2*15,15,80,+stretch,
2023-05-28 22:00:00,dips,5*20 + 1*30 + 1*35,35,165,+stretch,
2023-05-30 22:00:00,pull_ups,5*10 + 1*20 + 1*10,20,80,+stretch,
2023-06-05 22:00:00,dips,4*20 + 1*30 + 1*40,40,150,,
2023-06-13 19:00:00,pull_ups,5*10 + 1*20,20,70,,
2023-06-15 23:30:00,dips,5*20 + 1*35,35,135,+stretch,
2023-06-18 14:30:00,pull_ups,6*10 + 1*15,15,75,+stretch,
2023-06-20 23:00:00,dips,5*20 + 2*30,30,160,+stretch,
2023-06-22 23:00:00,pull_ups,5*10 + 1*15,15,65,+stretch,
2023-06-25 23:00:00,dips,5*20 + 2*30,30,160,,
2023-06-27 23:00:00,pull_ups,5*10 + 1*15 + 1*17,17,82,,
2023-06-29 23:00:00,dips,5*20 + 2*30,30,160,+stretch,
2023-07-04 23:00:00,pull_ups,1*15 + 5*10,15,65,+stretch,
2023-07-07 23:00:00,dips,5*20 + 2*30,30,160,+stretch,
2023-07-09 23:00:00,pull_ups,5*10 + 1*15 + 1*20,20,85,+stretch,
2023-07-16 23:00:00,pull_ups,5*10 + 2*15 + 1*10,15,90,+stretch,
2023-07-18 23:00:00,dips,5*20 + 2*30,30,160,+stretch,
2023-07-20 23:00:00,pull_ups,5*10 + 2*15 + 1*10,15,90,+stretch,
2023-07-24 23:00:00,dips,5*20 + 2*30,30,160,+stretch,
2023-07-25 23:00:00,pull_ups,5*10 + 2*15 + 2*10,15,100,+stretch,
2023-07-27 23:00:00,dips,5*20 + 2*30 + 1*40,40,200,,
2023-07-30 23:00:00,pull_ups,5*10 + 2*15 + 1*10,15,90,+stretch,
2023-08-05 23:00:00,pull_ups,5*10 + 1*15,15,65,,
2023-08-06 23:00:00,dips,5*20 + 2*30 ,30,160,,
2023-08-12 23:00:00,pull_ups,5*10,10,50,+stretch,
2023-08-15 23:00:00,pull_ups,7*10,10,70,+ 6 muscle ups,
2023-08-20 23:00:00,pull_ups,8*10 + 1*15,15,95,variations,
2023-08-22 23:00:00,pull_ups,4*10 + 2*15 + 1*10,15,80,,
2023-08-27 23:00:00,pull_ups,1*15 + 6*10 + 1*15,15,90,variations,
2023-08-29 23:00:00,pull_ups,8*10,10,80,variations,
2023-09-09 23:00:00,pull_ups,5*10 + 2*15 + 1*10,15,90,,
2023-09-12 23:00:00,pull_ups,5*10 + 2*15,15,80,,
2023-09-17 23:00:00,dips,6*20,20,120,,
2023-09-26 23:00:00,pull_ups,5*10 + 2*15,15,80,,
2023-10-01 23:00:00,pull_ups,6*10 + 1*20,20,80,,
2023-10-03 23:00:00,pull_ups,6*10 + 1*15,15,75,,
2023-10-06 23:00:00,pull_ups,7*10 + 1*15 + 1*10,15,95,variations,
2023-10-14 23:00:00,dips,5*20 + 1*30 + 1*35,35,165,,
2023-10-16 23:00:00,pull_ups,5*10 + 2*15,15,80,,
2023-10-19 23:00:00,dips,5*20 + 2*30,30,160,,
2023-10-23 23:00:00,pull_ups,5*10 + 2*15,15,80,,
2023-10-24 23:00:00,dips,5*20 + 2*30,30,160,,
2023-11-12 17:00:00,pull_ups,6*10,10,60,,
2023-11-26 17:00:00,pull_ups,7*10,10,70,,
2023-12-03 20:00:00,pull_ups,5*10 + 1*20,20,70,,
2023-12-05 22:30:00,dips,5*20 + 2*30,30,160,,
2023-12-09 22:30:00,pull_ups,5*10 + 2*15 + 1*10,15,90,,
2023-12-12 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2023-12-18 22:30:00,pull_ups,5*10 + 3*15,15,95,,
2023-12-23 22:30:00,pull_ups,5*10,10,50,,
2023-12-26 22:30:00,pull_ups,5*10 + 1*15 + 1*10 + 1*15,15,90,,
2023-12-28 22:30:00,pull_ups,2*10 + 2*15 + 3*10,15,80,,
2023-12-30 22:30:00,pull_ups,3*10 + 2*15 + 2*10,15,80,,
2024-01-07 22:30:00,pull_ups,7*10,10,70,,
2024-01-17 22:30:00,pull_ups,5*10 + 1*15,15,65,,
2024-01-18 22:30:00,dips,4*20 + 1*30,30,110,,
2024-01-20 22:30:00,pull_ups,4*10 + 2*15,15,70,,
2024-01-22 22:30:00,dips,4*20 + 2*30,30,140,,
2024-01-24 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-01-25 22:30:00,dips,5*20 + 2*30,30,160,,
2024-01-26 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-01-27 22:30:00,dips,5*20 + 2*30,30,160,,
2024-01-29 22:30:00,pull_ups,5*10 + 2*20,20,90,,
2024-01-30 22:30:00,dips,5*20 + 2*35,35,170,,
