start_dt,finish_dt,duration,distance_km,avg_speed_km_h,route,route features,notes
2023-03-12 07:15:00,2023-03-12 07:55:00,00:40:00,7.4,11.1,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,first in 6 days after minor calf injury
2023-03-14 21:30:00,2023-03-14 22:15:00,00:45:00,8.3,11.1,Achapnyak - Tsitsernakaberd - Achapnyak,High elevation changes,
2023-03-16 21:00:00,2023-03-16 21:40:00,00:40:00,7.4,11.1,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-03-18 07:00:00,2023-03-18 07:39:00,00:39:00,7.4,11.4,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-03-21 21:30:00,2023-03-21 22:09:00,00:39:00,7.4,11.4,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-03-23 21:30:00,2023-03-23 22:09:00,00:39:00,7.4,11.4,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-03-25 21:30:00,2023-03-25 22:09:00,00:39:00,7.4,11.4,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-03-30 06:00:00,2023-03-30 06:41:00,00:41:00,8.5,12.4,Arabkir -  Achapnyak - Arabkir,High elevation changes,
2023-04-01 07:00:00,2023-04-01 07:39:00,00:39:00,7.4,11.4,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-04-01 21:30:00,2023-04-01 22:11:30,00:41:30,7.4,10.7,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-04-06 21:30:00,2023-04-06 22:09:00,00:39:00,7.4,11.4,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-04-08 06:55:00,2023-04-08 07:34:00,00:39:00,7,10.8,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-04-11 21:30:00,2023-04-11 22:09:40,00:39:40,7.4,11.2,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-04-15 06:50:00,2023-04-15 07:29:00,00:39:00,7.4,11.4,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-04-18 21:30:00,2023-04-18 22:09:00,00:39:00,7.4,11.4,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-04-22 06:50:00,2023-04-22 07:29:16,00:39:16,7.4,11.3,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-04-29 06:50:00,2023-04-29 07:31:09,00:41:09,7.4,10.8,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-05-04 21:40:00,2023-05-04 22:19:11,00:39:11,7.4,11.3,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-05-06 07:00:00,2023-05-06 07:39:52,00:39:52,7.4,11.1,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-05-09 21:30:00,2023-05-09 22:07:30,00:37:30,7.4,11.8,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-05-11 21:30:00,2023-05-11 22:08:13,00:38:13,7.4,11.6,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
